Komoditas,TGl,Harga
Bawang Merah,30/03/21,33197.0
Bawang Merah,31/03/21,33307.0
Bawang Merah,01/04/21,33531.0
Bawang Merah,02/04/21,32028.0
Bawang Merah,03/04/21,34535.5
Bawang Merah,04/04/21,34535.5
Bawang Merah,05/04/21,32985.0
Bawang Merah,06/04/21,32817.0
Bawang Merah,07/04/21,33007.0
Bawang Merah,08/04/21,32820.0
Bawang Merah,09/04/21,32539.0
Bawang Merah,10/04/21,34535.5
Bawang Merah,11/04/21,34535.5
Bawang Merah,12/04/21,32893.0
Bawang Merah,13/04/21,32513.0
Bawang Merah,14/04/21,32580.0
Bawang Merah,15/04/21,32597.0
Bawang Merah,16/04/21,32478.0
Bawang Merah,17/04/21,34535.5
Bawang Merah,18/04/21,34535.5
Bawang Merah,19/04/21,32509.0
Bawang Merah,20/04/21,32045.0
Bawang Merah,21/04/21,31864.0
Bawang Merah,22/04/21,31875.0
Bawang Merah,23/04/21,31653.0
Bawang Merah,24/04/21,34535.5
Bawang Merah,25/04/21,34535.5
Bawang Merah,26/04/21,31831.0
Bawang Merah,27/04/21,31617.0
Bawang Merah,28/04/21,32024.0
Bawang Merah,29/04/21,31653.0
Bawang Merah,30/04/21,31607.0
Bawang Merah,01/05/21,34535.5
Bawang Merah,02/05/21,34535.5
Bawang Merah,03/05/21,31855.0
Bawang Merah,04/05/21,31918.0
Bawang Merah,05/05/21,31714.0
Bawang Merah,06/05/21,31910.0
Bawang Merah,07/05/21,31995.0
Bawang Merah,08/05/21,34535.5
Bawang Merah,09/05/21,34535.5
Bawang Merah,10/05/21,32336.0
Bawang Merah,11/05/21,32386.0
Bawang Merah,12/05/21,32807.0
Bawang Merah,13/05/21,34535.5
Bawang Merah,14/05/21,32875.0
Bawang Merah,15/05/21,32616.0
Bawang Merah,16/05/21,33232.0
Bawang Merah,17/05/21,32307.0
Bawang Merah,18/05/21,32318.0
Bawang Merah,19/05/21,32582.0
Bawang Merah,20/05/21,32185.0
Bawang Merah,21/05/21,32606.0
Bawang Merah,22/05/21,34535.5
Bawang Merah,23/05/21,34535.5
Bawang Merah,24/05/21,32331.0
Bawang Merah,25/05/21,32168.0
Bawang Merah,26/05/21,34535.5
Bawang Merah,27/05/21,31938.0
Bawang Merah,28/05/21,31772.0
Bawang Merah,29/05/21,34535.5
Bawang Merah,30/05/21,34535.5
Bawang Merah,31/05/21,31588.0
Bawang Merah,01/06/21,34535.5
Bawang Merah,02/06/21,31606.0
Bawang Merah,03/06/21,31668.0
Bawang Merah,04/06/21,31962.0
Bawang Merah,05/06/21,34535.5
Bawang Merah,06/06/21,34535.5
Bawang Merah,07/06/21,31365.0
Bawang Merah,08/06/21,31187.0
Bawang Merah,09/06/21,31180.0
Bawang Merah,10/06/21,30386.0
Bawang Merah,11/06/21,30796.0
Bawang Merah,12/06/21,34535.5
Bawang Merah,13/06/21,34535.5
Bawang Merah,14/06/21,30428.0
Bawang Merah,15/06/21,29830.0
Bawang Merah,16/06/21,29833.0
Bawang Merah,17/06/21,30321.0
Bawang Merah,18/06/21,29856.0
Bawang Merah,19/06/21,34535.5
